RecordType,SchoolYear,CountDate,DistrictCode,DistrictName,LEAType,IncludeInStatewide,SchoolCode,SchoolName,ModelMatchStatus,CurrentCalculatorSuppliedFundingAmount,CurrentDocumentedCrosswalkFundingAmount,CurrentAnalyticalAssumptionFundingAmount,CurrentModelFundingAmount,CurrentComponentsMissingInput,CurrentRowsMissingInput,CurrentComponentsMissingRate,CurrentRowsMissingRate,ProposedCalculationUnitCount,ProposedPrincipalPositions,OperationalEnrollmentBasis,CharterBuildingPolicy,ProposedBaseFundingAmount,ProposedCentralOfficeFundingAmount,ProposedPositionBasedFundingAmount,ProposedComponentsMissingInput,ProposedRowsMissingInput,ProposedComponentsMissingRate,ProposedRowsMissingRate,PositionBasedComparisonBasis,FullModelComparisonBasis,CurrentModelComplete,ProposedModelComplete,ComparisonComplete,ComparisonStatus,ComparisonInterpretation,ProposedOpportunityFundingAmount,ProposedOperationalFundingAmount,Enrollment,LI,MLL,CodedSchoolCount,ProgramRecordCount,ProposedWeightedFundingAmount,ProposedModelFundingAmount,PositionBasedFundingDifference,PreliminaryPositionBasedPercentDifference,PositionBasedPercentDifference,FullModelFundingDifference,PreliminaryFullModelPercentDifference,FullModelPercentDifference,ReportPositionBasedPercentDifference,ReportGrossFullModelPercentDifference,PositionBasedDirection,GrossFullModelDirection,CurrentModeledFundingPerStudent,ProposedPositionBasedFundingPerStudent,ProposedWeightedFundingPerStudent,ProposedFullModelFundingPerStudent,AdjustedReportingScope,ExcludedLEA,WeightedPoolTreatment,WeightedRateMethodSource,PositionBasedFundingDifferencePerStudent,FullModelFundingDifferencePerStudent,GrossFullModelPercentRank,PositionBasedPercentRank
LEA,2026,2025-09-30,70,Charter School of Wilmington,Charter,TRUE,,LEA Total,Matched,5378638.51,692224.57,389439.08,6460302.16,3,,2,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,6672784.75,711553.13,7384337.87,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,102917.78236082788,731667.7030124032,980,28,4,1,0,834585.4853732311,8218923.355373232,924035.71,14.303289337166236,,1758621.1953732315,27.221965038446925,,14.303289337166236,27.221965038446925,Increase,Increase,6592.14506122449,7535.038642857143,851.6178422175827,8386.656485074725,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",942.893581632653,1794.5114238502363,35,12
LEA,2026,2025-09-30,33,Christina School District,District,TRUE,,LEA Total,Matched,140634758.27,26543187.43,14002532.04,181180477.74,2,,0,,29,29,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,176710622.05,3694397.77,180405019.83,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,19243743.263106328,32198908.56309222,12799,4434,1899,29,1,51442651.82619855,231847671.65619856,-775457.9099999964,-0.42800301647995664,,50667193.91619855,27.965040465842932,,-0.42800301647995664,27.965040465842932,Decrease,Increase,14155.830747714666,14095.24336510665,4019.2711794826587,18114.51454458931,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",-60.58738260801597,3958.6837968746427,34,42
LEA,2026,2025-09-30,34,Colonial School District,District,TRUE,,LEA Total,Matched,81557732.16,12917363.81,8594391.95,103069487.92,2,,0,,14,14,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,101448851.02,2907712.27,104356563.29,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,11630328.498342132,18872287.519069303,8273,2635,1212,14,1,30502616.017411433,134859179.30741143,1287075.3700000048,1.2487452843454514,,31789691.38741143,30.842970144652128,,1.2487452843454514,30.842970144652128,Increase,Increase,12458.538368185664,12614.113778556752,3687.0078589884483,16301.121637545199,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",155.57541037108723,3842.583269359535,29,40
LEA,2026,2025-09-30,79,Delaware Military Academy,Charter,TRUE,,LEA Total,Matched,3628167.24,363661.29,234831.92,4226660.45,3,,2,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,4417510.94,686788.69,5104299.63,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,247859.50039690244,608145.5147760025,555,63,16,1,0,856005.0151729049,5960304.645172905,877639.1799999997,20.76436445231837,,1733644.195172905,41.01687882623514,,20.76436445231837,41.01687882623514,Increase,Increase,7615.604414414414,9196.93627027027,1542.3513786899189,10739.28764896019,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",1581.3318558558553,3123.6832345457747,20,5
LEA,2026,2025-09-30,37,Delmar School District,District,TRUE,,LEA Total,Matched,10387276.82,1232183.28,1029775.32,12649235.42,3,,0,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,12841716.39,767918.65,13609635.05,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,841345.4417009451,1983950.1219741718,1471,189,90,2,0,2825295.5636751167,16434930.613675117,960399.6300000008,7.592550838934429,,3785695.1936751176,29.92825311551611,,7.592550838934429,29.92825311551611,Increase,Increase,8599.072345343304,9251.961284840245,1920.6631976037504,11172.624482443996,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",652.8889394969414,2573.5521371006917,31,25
LEA,2026,2025-09-30,9604,Early College High School at Del State,Charter,TRUE,,LEA Total,Matched,3860474.69,443904.4,331796.27,4636175.36,3,,2,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,4694352.81,689655.08,5384007.89,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,661387.9045459556,1005969.9053554103,597,186,17,1,0,1667357.809901366,7051365.699901366,747832.5299999993,16.130376267734604,,2415190.3399013653,52.09445614890126,,16.130376267734604,52.09445614890126,Increase,Increase,7765.787872696818,9018.438676716918,2792.8941539386365,11811.332830655554,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",1252.6508040200995,4045.5449579587357,9,8
LEA,2026,2025-09-30,72,East Side Charter School,Charter,TRUE,,LEA Total,Matched,3687655.32,358027.34,475187,4520869.66,3,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,4570529.81,685804.32,5256334.13,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,1102503.0289909572,1197213.804166712,460,327,4,1,0,2299716.8331576693,7556050.963157669,735464.4699999997,16.26820778549054,,3035181.3031576686,67.13711147243446,,16.26820778549054,67.13711147243446,Increase,Increase,9827.97752173913,11426.813326086956,4999.384419907977,16426.19774599493,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",1598.8358043478256,6598.220224255801,1,7
LEA,2026,2025-09-30,76,Edison (Thomas A.) Charter School,Charter,TRUE,,LEA Total,Matched,4346960.89,582409.55,592530.35,5521900.79,3,,2,,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,5445486.31,693987.77,6139474.08,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,1369653.4226648293,1452845.371605784,538,409,1,1,0,2822498.794270613,8961972.874270614,617573.29,11.184070730108138,,3440072.084270614,62.298694147140125,,11.184070730108138,62.298694147140125,Increase,Increase,10263.756115241637,11411.661858736059,5246.2802867483515,16657.942145484412,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",1147.9057434944239,6394.186030242778,4,16
LEA,2026,2025-09-30,9607,First State Military Academy,Charter,TRUE,,LEA Total,Matched,3242737.17,427051.56,159480.29,3829269.02,3,,2,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,3943700.47,680734.93,4624435.4,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,286837.50555473275,631239.8541171071,424,67,27,1,0,918077.3596718399,5542512.75967184,795166.3800000004,20.765487508109324,,1713243.7396718399,44.740751582709116,,20.765487508109324,44.740751582709116,Increase,Increase,9031.294858490566,10906.687264150944,2165.2767916788675,13071.96405582981,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",1875.3924056603782,4040.669197339245,17,4
LEA,2026,2025-09-30,9606,First State Montessori Academy,Charter,TRUE,,LEA Total,Matched,4723815.91,505881.01,651437.1,5881134.02,3,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,5948034.43,700068.87,6648103.3,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,Current modeled funding versus all proposed funding,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates,218613.614697158,740807.8570333194,648,64,2,1,0,959421.4717304774,7607524.771730477,766969.2800000003,13.04118010900218,,1726390.7517304774,29.354725565843808,,13.04118010900218,29.354725565843808,Increase,Increase,9075.82410493827,10259.418672839505,1480.5886909420947,11740.0073637816,TRUE,Bryan Allen Stevenson School of Excellence,Fixed pools redistributed across the adjusted reporting scope,"Nick Johnson, POLYTECH School District",1183.594567901235,2664.1832588433294,33,14
