RecordType,SchoolYear,CountDate,DistrictCode,DistrictName,LEAType,IncludeInStatewide,SchoolCode,SchoolName,ModelMatchStatus,CurrentCalculatorSuppliedFundingAmount,CurrentDocumentedCrosswalkFundingAmount,CurrentAnalyticalAssumptionFundingAmount,CurrentModelFundingAmount,CurrentComponentsMissingInput,CurrentRowsMissingInput,CurrentComponentsMissingRate,CurrentRowsMissingRate,ProposedCalculationUnitCount,ProposedPrincipalPositions,OperationalEnrollmentBasis,CharterBuildingPolicy,ProposedBaseFundingAmount,ProposedCentralOfficeFundingAmount,ProposedPositionBasedFundingAmount,ProposedOpportunityFundingAmount,ProposedOperationalFundingAmount,ProposedWeightedFundingAmount,ProposedModelFundingAmount,ProposedComponentsMissingInput,ProposedRowsMissingInput,ProposedComponentsMissingRate,ProposedRowsMissingRate,PositionBasedComparisonBasis,PositionBasedFundingDifference,PreliminaryPositionBasedPercentDifference,PositionBasedPercentDifference,FullModelComparisonBasis,FullModelFundingDifference,PreliminaryFullModelPercentDifference,FullModelPercentDifference,CurrentModelComplete,ProposedModelComplete,ComparisonComplete,ComparisonStatus,ComparisonInterpretation
LEA,2026,2025-09-30,80,Charter School of New Castle,Charter,TRUE,,LEA Total,Matched,5420544.82,611791.47,785805.92,6818142.22,3,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,6671097.33,707576.86,7378674.19,1251317.3,1493553.64,2744870.94,10123545.13,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,560531.98,8.221183,,Current modeled funding versus all proposed funding,3305402.92,48.479524,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,70,Charter School of Wilmington,Charter,TRUE,,LEA Total,Matched,5378638.51,692224.57,389439.08,6460302.16,3,,2,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,6672784.75,711553.13,7384337.87,102829.02,730999.27,833828.29,8218166.16,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,924035.72,14.303289,,Current modeled funding versus all proposed funding,1757864.01,27.210244,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,33,Christina School District,District,TRUE,,LEA Total,Matched,140634758.27,26543187.43,14002532.04,181180477.74,2,,0,,29,29,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,176710622.05,3694397.77,180405019.83,19227145.74,32169492.6,51396638.34,231801658.17,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,-775457.91,-0.428003,,Current modeled funding versus all proposed funding,50621180.43,27.939644,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,34,Colonial School District,District,TRUE,,LEA Total,Matched,81557732.16,12917363.81,8594391.95,103069487.92,2,,0,,14,14,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,101448851.02,2907712.27,104356563.29,11620297.46,18855046.36,30475343.82,134831907.12,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,1287075.38,1.248745,,Current modeled funding versus all proposed funding,31762419.2,30.81651,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,79,Delaware Military Academy,Charter,TRUE,,LEA Total,Matched,3628167.24,363661.29,234831.92,4226660.45,3,,2,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,4417510.94,686788.69,5104299.63,247645.72,607589.93,855235.66,5959535.29,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,877639.19,20.764365,,Current modeled funding versus all proposed funding,1732874.84,40.998676,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,37,Delmar School District,District,TRUE,,LEA Total,Matched,10387276.82,1232183.28,1029775.32,12649235.42,3,,0,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,12841716.39,767918.65,13609635.05,840619.79,1982137.64,2822757.43,16432392.48,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,960399.63,7.592551,,Current modeled funding versus all proposed funding,3783157.07,29.908188,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,14,Dover Air Force Base,Dover Air Force Base,FALSE,,LEA Total,Matched,4062975.13,443675.8,305078.01,4811728.94,3,,0,,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,4943214.91,688669.33,5631884.23,92090.86,565879.36,657970.22,6289854.45,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,820155.29,17.044919,,Current modeled funding versus all proposed funding,1478125.51,30.719218,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,9604,Early College High School at Del State,Charter,TRUE,,LEA Total,Matched,3860474.69,443904.4,331796.27,4636175.36,3,,2,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,4694352.81,689655.08,5384007.89,660817.46,1005050.88,1665868.35,7049876.24,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,747832.54,16.130376,,Current modeled funding versus all proposed funding,2413700.88,52.062329,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,72,East Side Charter School,Charter,TRUE,,LEA Total,Matched,3687655.32,358027.34,475187,4520869.66,3,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,4570529.81,685804.32,5256334.13,1101552.13,1196120.07,2297672.2,7554006.32,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,735464.46,16.268208,,Current modeled funding versus all proposed funding,3033136.66,67.091885,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,76,Edison (Thomas A.) Charter School,Charter,TRUE,,LEA Total,Matched,4346960.89,582409.55,592530.35,5521900.79,3,,2,,3,3,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,5445486.31,693987.77,6139474.08,1368472.11,1451518.1,2819990.21,8959464.29,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,617573.29,11.184071,,Current modeled funding versus all proposed funding,3437563.5,62.253264,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,9607,First State Military Academy,Charter,TRUE,,LEA Total,Matched,3242737.17,427051.56,159480.29,3829269.02,3,,2,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,3943700.47,680734.93,4624435.4,286590.11,630663.17,917253.28,5541688.69,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,795166.38,20.765487,,Current modeled funding versus all proposed funding,1712419.66,44.719231,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,9606,First State Montessori Academy,Charter,TRUE,,LEA Total,Matched,4723815.91,505881.01,651437.1,5881134.02,3,,2,,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,5948034.43,700068.87,6648103.3,218425.06,740131.08,958556.14,7606659.44,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,766969.28,13.04118,,Current modeled funding versus all proposed funding,1725525.42,29.340012,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
LEA,2026,2025-09-30,9612,Freire Charter School Wilmington,Charter,TRUE,,LEA Total,Matched,3331480.99,433571.56,270727.41,4035779.96,3,,2,,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,3992750.09,680230.4,4672980.48,632066.91,882242.74,1514309.65,6187290.13,0,,0,,Current modeled funding versus proposed Base plus Central Office Funding,637200.53,15.788783,,Current modeled funding versus all proposed funding,2151510.18,53.310889,,FALSE,TRUE,FALSE,Partial because the current model has missing inputs or rates,Preliminary arithmetic comparison only; at least one model has missing inputs or rates
