CheckLevel,Difference,Tolerance,Status,DistrictName,Variable,ReportedValue,RolledValue
School to LEA,0,0,Pass,Academia Antonia Alonso,Enrollment,923,923
School to LEA,0,0,Pass,Academia Antonia Alonso,Enrollment4_12,476,476
School to LEA,0,0,Pass,Academia Antonia Alonso,EnrollmentBasicK12,48,48
School to LEA,0,0,Pass,Academia Antonia Alonso,EnrollmentComplex,7,7
School to LEA,0,0,Pass,Academia Antonia Alonso,EnrollmentIntense,19,19
School to LEA,0,0,Pass,Academia Antonia Alonso,EnrollmentK3,373,373
School to LEA,0,0,Pass,Academia Antonia Alonso,EnrollmentPreK,0,0
School to LEA,0,0,Pass,Academia Antonia Alonso,Grade10Enrollment,0,0
School to LEA,0,0,Pass,Academia Antonia Alonso,K8Enrollment,923,923
School to LEA,0,0,Pass,Academia Antonia Alonso,LI,275,275
School to LEA,0,0,Pass,Academia Antonia Alonso,MLL,536,536
School to LEA,0,0,Pass,Academia Antonia Alonso,RegularEdEnrollment,849,849
School to LEA,0,0,Pass,Academia Antonia Alonso,SpecialEdEnrollment,74,74
School to LEA,0,0.05,Pass,Academia Antonia Alonso,Units4_12,23.8,23.8
School to LEA,0,0.05,Pass,Academia Antonia Alonso,UnitsBasicK12,5.71,5.71
School to LEA,0,0.05,Pass,Academia Antonia Alonso,UnitsComplex,2.69,2.69
School to LEA,0,0.05,Pass,Academia Antonia Alonso,UnitsIntense,3.17,3.17
School to LEA,0,0.05,Pass,Academia Antonia Alonso,UnitsK3,23.02,23.02
School to LEA,0,0.05,Pass,Academia Antonia Alonso,UnitsPreK,0,0
School to LEA,0,0.05,Pass,Academia Antonia Alonso,UnitsTotal,58.39,58.39
School to LEA,0,0.05,Pass,Academia Antonia Alonso,UnitsVocational,0,0
School to LEA,0,0.05,Pass,Academia Antonia Alonso,UnitsVocationalDeduct,0,0
School to LEA,0,0,Pass,Academy of Dover Charter School,BaseUnitEnrollmentTotal,454,454
School to LEA,0,0,Pass,Academy of Dover Charter School,Enrollment,454,454
School to LEA,0,0,Pass,Academy of Dover Charter School,Enrollment4_12,179,179
School to LEA,0,0,Pass,Academy of Dover Charter School,EnrollmentBasicK12,52,52
School to LEA,0,0,Pass,Academy of Dover Charter School,EnrollmentComplex,11,11
School to LEA,0,0,Pass,Academy of Dover Charter School,EnrollmentIntense,27,27
School to LEA,0,0,Pass,Academy of Dover Charter School,EnrollmentK3,185,185
School to LEA,0,0,Pass,Academy of Dover Charter School,EnrollmentPreK,0,0
School to LEA,0,0,Pass,Academy of Dover Charter School,Grade10Enrollment,0,0
School to LEA,0,0,Pass,Academy of Dover Charter School,K8Enrollment,454,454
School to LEA,0,0,Pass,Academy of Dover Charter School,LI,180,180
School to LEA,0,0,Pass,Academy of Dover Charter School,MLL,57,57
School to LEA,0,0,Pass,Academy of Dover Charter School,RegularEdEnrollment,364,364
School to LEA,0,0,Pass,Academy of Dover Charter School,SpecialEdEnrollment,90,90
School to LEA,0,0.05,Pass,Academy of Dover Charter School,Units4_12,8.95,8.95
School to LEA,0,0.05,Pass,Academy of Dover Charter School,UnitsBasicK12,6.19,6.19
School to LEA,0,0.05,Pass,Academy of Dover Charter School,UnitsComplex,4.23,4.23
School to LEA,0,0.05,Pass,Academy of Dover Charter School,UnitsIntense,4.5,4.5
School to LEA,0,0.05,Pass,Academy of Dover Charter School,UnitsK3,11.42,11.42
School to LEA,0,0.05,Pass,Academy of Dover Charter School,UnitsPreK,0,0
School to LEA,0,0.05,Pass,Academy of Dover Charter School,UnitsTotal,35.29,35.29
School to LEA,0,0.05,Pass,Academy of Dover Charter School,UnitsVocational,0,0
School to LEA,0,0.05,Pass,Academy of Dover Charter School,UnitsVocationalDeduct,0,0
School to LEA,0,0,Pass,Appoquinimink School District,BaseUnitEnrollmentTotal,12958,12958
School to LEA,0,0,Pass,Appoquinimink School District,Enrollment,12958,12958
School to LEA,0,0,Pass,Appoquinimink School District,Enrollment4_12,7554,7554
School to LEA,0,0,Pass,Appoquinimink School District,EnrollmentBasicK12,1092,1092
School to LEA,0,0,Pass,Appoquinimink School District,EnrollmentComplex,524,524
School to LEA,0,0,Pass,Appoquinimink School District,EnrollmentIntense,483,483
School to LEA,0,0,Pass,Appoquinimink School District,EnrollmentK3,3254,3254
School to LEA,0,0,Pass,Appoquinimink School District,EnrollmentPreK,51,51
School to LEA,0,0,Pass,Appoquinimink School District,Grade10Enrollment,991,991
School to LEA,0,0,Pass,Appoquinimink School District,K8Enrollment,8954,8954
School to LEA,0,0,Pass,Appoquinimink School District,LI,1415,1415
School to LEA,0,0,Pass,Appoquinimink School District,MLL,562,562
School to LEA,0,0,Pass,Appoquinimink School District,RegularEdEnrollment,10808,10808
School to LEA,0,0,Pass,Appoquinimink School District,SpecialEdEnrollment,2150,2150
School to LEA,0,0.05,Pass,Appoquinimink School District,Units4_12,377.7,377.7
School to LEA,0,0.05,Pass,Appoquinimink School District,UnitsBasicK12,130,130
School to LEA,-0.01,0.05,Pass,Appoquinimink School District,UnitsComplex,201.54,201.53
School to LEA,-0.01,0.05,Pass,Appoquinimink School District,UnitsIntense,80.5,80.49
School to LEA,-0.01,0.05,Pass,Appoquinimink School District,UnitsK3,200.86,200.85
School to LEA,0,0.05,Pass,Appoquinimink School District,UnitsPreK,6.07,6.07
School to LEA,-0.05,0.05,Pass,Appoquinimink School District,UnitsTotal,1046.83,1046.78
School to LEA,0.01,0.05,Pass,Appoquinimink School District,UnitsVocational,100.32,100.33
School to LEA,-0.03,0.05,Pass,Appoquinimink School District,UnitsVocationalDeduct,-50.16,-50.19
School to LEA,0,0,Pass,Brandywine School District,BaseUnitEnrollmentTotal,10070,10070
School to LEA,0,0,Pass,Brandywine School District,Enrollment,10070,10070
School to LEA,0,0,Pass,Brandywine School District,Enrollment4_12,5392,5392
School to LEA,0,0,Pass,Brandywine School District,EnrollmentBasicK12,953,953
School to LEA,0,0,Pass,Brandywine School District,EnrollmentComplex,575,575
School to LEA,0,0,Pass,Brandywine School District,EnrollmentIntense,543,543
School to LEA,0,0,Pass,Brandywine School District,EnrollmentK3,2500,2500
School to LEA,0,0,Pass,Brandywine School District,EnrollmentPreK,107,107
School to LEA,0,0,Pass,Brandywine School District,Grade10Enrollment,723,723
School to LEA,0,0,Pass,Brandywine School District,K8Enrollment,6912,6912
School to LEA,0,0,Pass,Brandywine School District,LI,2526,2526
