CheckLevel,Difference,Tolerance,Status,DistrictName,Variable,ReportedValue,RolledValue
School to LEA,-0,0.05,Pass,Christina School District,Units4_12,301.25,301.25
School to LEA,-0.01,0.05,Pass,Christina School District,UnitsBasicK12,127.62,127.61
School to LEA,-0.01,0.05,Pass,Christina School District,UnitsComplex,491.54,491.53
School to LEA,-0,0.05,Pass,Christina School District,UnitsIntense,158.33,158.33
School to LEA,0,0.05,Pass,Christina School District,UnitsK3,198.09,198.09
School to LEA,0,0.05,Pass,Christina School District,UnitsPreK,31.55,31.55
School to LEA,-0.03,0.05,Pass,Christina School District,UnitsTotal,1331.99,1331.96
School to LEA,-0.01,0.05,Pass,Christina School District,UnitsVocational,47.23,47.22
School to LEA,0,0.05,Pass,Christina School District,UnitsVocationalDeduct,-23.62,-23.62
School to LEA,0,0,Pass,Colonial School District,BaseUnitEnrollmentTotal,8273,8273
School to LEA,0,0,Pass,Colonial School District,Enrollment,8273,8273
School to LEA,0,0,Pass,Colonial School District,Enrollment4_12,3993,3993
School to LEA,0,0,Pass,Colonial School District,EnrollmentBasicK12,690,690
School to LEA,0,0,Pass,Colonial School District,EnrollmentComplex,420,420
School to LEA,0,0,Pass,Colonial School District,EnrollmentIntense,931,931
School to LEA,0,0,Pass,Colonial School District,EnrollmentK3,2122,2122
School to LEA,0,0,Pass,Colonial School District,EnrollmentPreK,117,117
School to LEA,0,0,Pass,Colonial School District,Grade10Enrollment,541,541
School to LEA,0,0,Pass,Colonial School District,K8Enrollment,5975,5975
School to LEA,0,0,Pass,Colonial School District,LI,2635,2635
School to LEA,0,0,Pass,Colonial School District,MLL,1212,1212
School to LEA,0,0,Pass,Colonial School District,RegularEdEnrollment,6115,6115
School to LEA,0,0,Pass,Colonial School District,SpecialEdEnrollment,2158,2158
School to LEA,-0,0.05,Pass,Colonial School District,Units4_12,199.65,199.65
School to LEA,-0.01,0.05,Pass,Colonial School District,UnitsBasicK12,82.14,82.13
School to LEA,0,0.05,Pass,Colonial School District,UnitsComplex,161.54,161.54
School to LEA,0.01,0.05,Pass,Colonial School District,UnitsIntense,155.17,155.18
School to LEA,-0.01,0.05,Pass,Colonial School District,UnitsK3,130.99,130.98
School to LEA,0,0.05,Pass,Colonial School District,UnitsPreK,13.93,13.93
School to LEA,-0.02,0.05,Pass,Colonial School District,UnitsTotal,765.29,765.27
School to LEA,0,0.05,Pass,Colonial School District,UnitsVocational,43.74,43.74
School to LEA,-0.01,0.05,Pass,Colonial School District,UnitsVocationalDeduct,-21.87,-21.88
School to LEA,0,0,Pass,Delaware Military Academy,BaseUnitEnrollmentTotal,555,555
School to LEA,0,0,Pass,Delaware Military Academy,Enrollment,555,555
School to LEA,0,0,Pass,Delaware Military Academy,Enrollment4_12,501,501
School to LEA,0,0,Pass,Delaware Military Academy,EnrollmentBasicK12,54,54
School to LEA,0,0,Pass,Delaware Military Academy,EnrollmentComplex,0,0
School to LEA,0,0,Pass,Delaware Military Academy,EnrollmentIntense,0,0
School to LEA,0,0,Pass,Delaware Military Academy,EnrollmentK3,0,0
School to LEA,0,0,Pass,Delaware Military Academy,EnrollmentPreK,0,0
School to LEA,0,0,Pass,Delaware Military Academy,Grade10Enrollment,150,150
School to LEA,0,0,Pass,Delaware Military Academy,K8Enrollment,0,0
School to LEA,0,0,Pass,Delaware Military Academy,LI,63,63
School to LEA,0,0,Pass,Delaware Military Academy,MLL,16,16
School to LEA,0,0,Pass,Delaware Military Academy,RegularEdEnrollment,501,501
School to LEA,0,0,Pass,Delaware Military Academy,SpecialEdEnrollment,54,54
School to LEA,0,0.05,Pass,Delaware Military Academy,Units4_12,25.05,25.05
School to LEA,0,0.05,Pass,Delaware Military Academy,UnitsBasicK12,6.43,6.43
School to LEA,0,0.05,Pass,Delaware Military Academy,UnitsComplex,0,0
School to LEA,0,0.05,Pass,Delaware Military Academy,UnitsIntense,0,0
School to LEA,0,0.05,Pass,Delaware Military Academy,UnitsK3,0,0
School to LEA,0,0.05,Pass,Delaware Military Academy,UnitsPreK,0,0
School to LEA,0,0.05,Pass,Delaware Military Academy,UnitsTotal,33.23,33.23
School to LEA,0,0.05,Pass,Delaware Military Academy,UnitsVocational,3.5,3.5
School to LEA,0,0.05,Pass,Delaware Military Academy,UnitsVocationalDeduct,-1.75,-1.75
School to LEA,0,0,Pass,Delmar School District,BaseUnitEnrollmentTotal,1471,1471
School to LEA,0,0,Pass,Delmar School District,Enrollment,1471,1471
School to LEA,0,0,Pass,Delmar School District,Enrollment4_12,1325,1325
School to LEA,0,0,Pass,Delmar School District,EnrollmentBasicK12,90,90
School to LEA,0,0,Pass,Delmar School District,EnrollmentComplex,18,18
School to LEA,0,0,Pass,Delmar School District,EnrollmentIntense,30,30
School to LEA,0,0,Pass,Delmar School District,EnrollmentK3,0,0
School to LEA,0,0,Pass,Delmar School District,EnrollmentPreK,8,8
School to LEA,0,0,Pass,Delmar School District,Grade10Enrollment,175,175
School to LEA,0,0,Pass,Delmar School District,K8Enrollment,767,767
School to LEA,0,0,Pass,Delmar School District,LI,189,189
School to LEA,0,0,Pass,Delmar School District,MLL,90,90
School to LEA,0,0,Pass,Delmar School District,RegularEdEnrollment,1325,1325
School to LEA,0,0,Pass,Delmar School District,SpecialEdEnrollment,146,146
School to LEA,0,0.05,Pass,Delmar School District,Units4_12,66.25,66.25
School to LEA,0,0.05,Pass,Delmar School District,UnitsBasicK12,10.71,10.71
School to LEA,0,0.05,Pass,Delmar School District,UnitsComplex,6.92,6.92
School to LEA,0,0.05,Pass,Delmar School District,UnitsIntense,5,5
School to LEA,0,0.05,Pass,Delmar School District,UnitsK3,0,0
School to LEA,0,0.05,Pass,Delmar School District,UnitsPreK,0.95,0.95
School to LEA,0,0.05,Pass,Delmar School District,UnitsTotal,96.92,96.92
School to LEA,0,0.05,Pass,Delmar School District,UnitsVocational,14.18,14.18
School to LEA,0,0.05,Pass,Delmar School District,UnitsVocationalDeduct,-7.09,-7.09
School to LEA,0,0,Pass,Dover Air Force Base,BaseUnitEnrollmentTotal,477,477
School to LEA,0,0,Pass,Dover Air Force Base,Enrollment,477,477
School to LEA,0,0,Pass,Dover Air Force Base,Enrollment4_12,219,219
School to LEA,0,0,Pass,Dover Air Force Base,EnrollmentBasicK12,53,53
School to LEA,0,0,Pass,Dover Air Force Base,EnrollmentComplex,13,13
School to LEA,0,0,Pass,Dover Air Force Base,EnrollmentIntense,18,18
School to LEA,0,0,Pass,Dover Air Force Base,EnrollmentK3,174,174
School to LEA,0,0,Pass,Dover Air Force Base,EnrollmentPreK,0,0
School to LEA,0,0,Pass,Dover Air Force Base,Grade10Enrollment,14,14
School to LEA,0,0,Pass,Dover Air Force Base,K8Enrollment,416,416
School to LEA,0,0,Pass,Dover Air Force Base,LI,22,22
School to LEA,0,0,Pass,Dover Air Force Base,MLL,8,8
School to LEA,0,0,Pass,Dover Air Force Base,RegularEdEnrollment,393,393
School to LEA,0,0,Pass,Dover Air Force Base,SpecialEdEnrollment,84,84
School to LEA,0,0.05,Pass,Dover Air Force Base,Units4_12,10.95,10.95
School to LEA,0,0.05,Pass,Dover Air Force Base,UnitsBasicK12,6.31,6.31
School to LEA,0,0.05,Pass,Dover Air Force Base,UnitsComplex,5,5
School to LEA,0,0.05,Pass,Dover Air Force Base,UnitsIntense,3,3
School to LEA,0,0.05,Pass,Dover Air Force Base,UnitsK3,10.74,10.74
School to LEA,0,0.05,Pass,Dover Air Force Base,UnitsPreK,0,0
School to LEA,0,0.05,Pass,Dover Air Force Base,UnitsTotal,36.18,36.18
School to LEA,0,0.05,Pass,Dover Air Force Base,UnitsVocational,0.37,0.37
School to LEA,0,0.05,Pass,Dover Air Force Base,UnitsVocationalDeduct,-0.19,-0.19
School to LEA,0,0,Pass,Early College High School at Del State,BaseUnitEnrollmentTotal,597,597
School to LEA,0,0,Pass,Early College High School at Del State,Enrollment,597,597
School to LEA,0,0,Pass,Early College High School at Del State,Enrollment4_12,536,536
School to LEA,0,0,Pass,Early College High School at Del State,EnrollmentBasicK12,51,51
School to LEA,0,0,Pass,Early College High School at Del State,EnrollmentComplex,5,5
School to LEA,0,0,Pass,Early College High School at Del State,EnrollmentIntense,5,5
School to LEA,0,0,Pass,Early College High School at Del State,EnrollmentK3,0,0
School to LEA,0,0,Pass,Early College High School at Del State,EnrollmentPreK,0,0
School to LEA,0,0,Pass,Early College High School at Del State,Grade10Enrollment,133,133
School to LEA,0,0,Pass,Early College High School at Del State,K8Enrollment,184,184
School to LEA,0,0,Pass,Early College High School at Del State,LI,186,186
School to LEA,0,0,Pass,Early College High School at Del State,MLL,17,17
School to LEA,0,0,Pass,Early College High School at Del State,RegularEdEnrollment,536,536
School to LEA,0,0,Pass,Early College High School at Del State,SpecialEdEnrollment,61,61
School to LEA,0,0.05,Pass,Early College High School at Del State,Units4_12,26.8,26.8
School to LEA,0,0.05,Pass,Early College High School at Del State,UnitsBasicK12,6.07,6.07
School to LEA,0,0.05,Pass,Early College High School at Del State,UnitsComplex,1.92,1.92
School to LEA,0,0.05,Pass,Early College High School at Del State,UnitsIntense,0.83,0.83
School to LEA,0,0.05,Pass,Early College High School at Del State,UnitsK3,0,0
School to LEA,0,0.05,Pass,Early College High School at Del State,UnitsPreK,0,0
School to LEA,0,0.05,Pass,Early College High School at Del State,UnitsTotal,35.62,35.62
School to LEA,0,0.05,Pass,Early College High School at Del State,UnitsVocational,0,0
School to LEA,0,0.05,Pass,Early College High School at Del State,UnitsVocationalDeduct,0,0
School to LEA,0,0,Pass,East Side Charter School,BaseUnitEnrollmentTotal,460,460
School to LEA,0,0,Pass,East Side Charter School,Enrollment,460,460
School to LEA,0,0,Pass,East Side Charter School,Enrollment4_12,203,203
School to LEA,0,0,Pass,East Side Charter School,EnrollmentBasicK12,61,61
School to LEA,0,0,Pass,East Side Charter School,EnrollmentComplex,7,7
School to LEA,0,0,Pass,East Side Charter School,EnrollmentIntense,20,20
School to LEA,0,0,Pass,East Side Charter School,EnrollmentK3,169,169
School to LEA,0,0,Pass,East Side Charter School,EnrollmentPreK,0,0
School to LEA,0,0,Pass,East Side Charter School,Grade10Enrollment,0,0
School to LEA,0,0,Pass,East Side Charter School,K8Enrollment,460,460
School to LEA,0,0,Pass,East Side Charter School,LI,327,327
School to LEA,0,0,Pass,East Side Charter School,MLL,4,4
School to LEA,0,0,Pass,East Side Charter School,RegularEdEnrollment,372,372
School to LEA,0,0,Pass,East Side Charter School,SpecialEdEnrollment,88,88
School to LEA,0,0.05,Pass,East Side Charter School,Units4_12,10.15,10.15
School to LEA,0,0.05,Pass,East Side Charter School,UnitsBasicK12,7.26,7.26
School to LEA,0,0.05,Pass,East Side Charter School,UnitsComplex,2.69,2.69
School to LEA,0,0.05,Pass,East Side Charter School,UnitsIntense,3.33,3.33
School to LEA,0,0.05,Pass,East Side Charter School,UnitsK3,10.43,10.43
School to LEA,0,0.05,Pass,East Side Charter School,UnitsPreK,0,0
School to LEA,0,0.05,Pass,East Side Charter School,UnitsTotal,33.86,33.86
School to LEA,0,0.05,Pass,East Side Charter School,UnitsVocational,0,0
School to LEA,0,0.05,Pass,East Side Charter School,UnitsVocationalDeduct,0,0
School to LEA,0,0,Pass,Edison (Thomas A.) Charter School,BaseUnitEnrollmentTotal,538,538
School to LEA,0,0,Pass,Edison (Thomas A.) Charter School,Enrollment,538,538
School to LEA,0,0,Pass,Edison (Thomas A.) Charter School,Enrollment4_12,245,245
School to LEA,0,0,Pass,Edison (Thomas A.) Charter School,EnrollmentBasicK12,44,44
School to LEA,0,0,Pass,Edison (Thomas A.) Charter School,EnrollmentComplex,16,16
School to LEA,0,0,Pass,Edison (Thomas A.) Charter School,EnrollmentIntense,25,25
School to LEA,0,0,Pass,Edison (Thomas A.) Charter School,EnrollmentK3,208,208
School to LEA,0,0,Pass,Edison (Thomas A.) Charter School,EnrollmentPreK,0,0
School to LEA,0,0,Pass,Edison (Thomas A.) Charter School,Grade10Enrollment,0,0
School to LEA,0,0,Pass,Edison (Thomas A.) Charter School,K8Enrollment,538,538
School to LEA,0,0,Pass,Edison (Thomas A.) Charter School,LI,409,409
School to LEA,0,0,Pass,Edison (Thomas A.) Charter School,MLL,1,1
School to LEA,0,0,Pass,Edison (Thomas A.) Charter School,RegularEdEnrollment,453,453
School to LEA,0,0,Pass,Edison (Thomas A.) Charter School,SpecialEdEnrollment,85,85
School to LEA,0,0.05,Pass,Edison (Thomas A.) Charter School,Units4_12,12.25,12.25
School to LEA,0,0.05,Pass,Edison (Thomas A.) Charter School,UnitsBasicK12,5.24,5.24
School to LEA,0,0.05,Pass,Edison (Thomas A.) Charter School,UnitsComplex,6.15,6.15
School to LEA,0,0.05,Pass,Edison (Thomas A.) Charter School,UnitsIntense,4.17,4.17
School to LEA,0,0.05,Pass,Edison (Thomas A.) Charter School,UnitsK3,12.84,12.84
School to LEA,0,0.05,Pass,Edison (Thomas A.) Charter School,UnitsPreK,0,0
School to LEA,0,0.05,Pass,Edison (Thomas A.) Charter School,UnitsTotal,40.65,40.65
School to LEA,0,0.05,Pass,Edison (Thomas A.) Charter School,UnitsVocational,0,0
School to LEA,0,0.05,Pass,Edison (Thomas A.) Charter School,UnitsVocationalDeduct,0,0
School to LEA,0,0,Pass,First State Military Academy,BaseUnitEnrollmentTotal,424,424
School to LEA,0,0,Pass,First State Military Academy,Enrollment,424,424
School to LEA,0,0,Pass,First State Military Academy,Enrollment4_12,340,340
School to LEA,0,0,Pass,First State Military Academy,EnrollmentBasicK12,58,58
School to LEA,0,0,Pass,First State Military Academy,EnrollmentComplex,7,7
School to LEA,0,0,Pass,First State Military Academy,EnrollmentIntense,19,19
School to LEA,0,0,Pass,First State Military Academy,EnrollmentK3,0,0
School to LEA,0,0,Pass,First State Military Academy,EnrollmentPreK,0,0
School to LEA,0,0,Pass,First State Military Academy,Grade10Enrollment,116,116
School to LEA,0,0,Pass,First State Military Academy,K8Enrollment,0,0
School to LEA,0,0,Pass,First State Military Academy,LI,67,67
School to LEA,0,0,Pass,First State Military Academy,MLL,27,27
School to LEA,0,0,Pass,First State Military Academy,RegularEdEnrollment,340,340
School to LEA,0,0,Pass,First State Military Academy,SpecialEdEnrollment,84,84
School to LEA,0,0.05,Pass,First State Military Academy,Units4_12,17,17
School to LEA,0,0.05,Pass,First State Military Academy,UnitsBasicK12,6.9,6.9
School to LEA,0,0.05,Pass,First State Military Academy,UnitsComplex,2.69,2.69
School to LEA,0,0.05,Pass,First State Military Academy,UnitsIntense,3.17,3.17
School to LEA,0,0.05,Pass,First State Military Academy,UnitsK3,0,0
School to LEA,0,0.05,Pass,First State Military Academy,UnitsPreK,0,0
School to LEA,0,0.05,Pass,First State Military Academy,UnitsTotal,29.76,29.76
School to LEA,0,0.05,Pass,First State Military Academy,UnitsVocational,0,0
School to LEA,0,0.05,Pass,First State Military Academy,UnitsVocationalDeduct,0,0
School to LEA,0,0,Pass,First State Montessori Academy,BaseUnitEnrollmentTotal,648,648
School to LEA,0,0,Pass,First State Montessori Academy,Enrollment,648,648
School to LEA,0,0,Pass,First State Montessori Academy,Enrollment4_12,285,285
School to LEA,0,0,Pass,First State Montessori Academy,EnrollmentBasicK12,56,56
School to LEA,0,0,Pass,First State Montessori Academy,EnrollmentComplex,5,5
School to LEA,0,0,Pass,First State Montessori Academy,EnrollmentIntense,29,29
School to LEA,0,0,Pass,First State Montessori Academy,EnrollmentK3,273,273
School to LEA,0,0,Pass,First State Montessori Academy,EnrollmentPreK,0,0
School to LEA,0,0,Pass,First State Montessori Academy,Grade10Enrollment,0,0
School to LEA,0,0,Pass,First State Montessori Academy,K8Enrollment,648,648
School to LEA,0,0,Pass,First State Montessori Academy,LI,64,64
School to LEA,0,0,Pass,First State Montessori Academy,MLL,2,2
School to LEA,0,0,Pass,First State Montessori Academy,RegularEdEnrollment,558,558
School to LEA,0,0,Pass,First State Montessori Academy,SpecialEdEnrollment,90,90
School to LEA,0,0.05,Pass,First State Montessori Academy,Units4_12,14.25,14.25
School to LEA,0,0.05,Pass,First State Montessori Academy,UnitsBasicK12,6.67,6.67
School to LEA,0,0.05,Pass,First State Montessori Academy,UnitsComplex,1.92,1.92
School to LEA,0,0.05,Pass,First State Montessori Academy,UnitsIntense,4.83,4.83
School to LEA,0,0.05,Pass,First State Montessori Academy,UnitsK3,16.85,16.85
School to LEA,0,0.05,Pass,First State Montessori Academy,UnitsPreK,0,0
School to LEA,0,0.05,Pass,First State Montessori Academy,UnitsTotal,44.52,44.52
School to LEA,0,0.05,Pass,First State Montessori Academy,UnitsVocational,0,0
School to LEA,0,0.05,Pass,First State Montessori Academy,UnitsVocationalDeduct,0,0
School to LEA,0,0,Pass,Freire Charter School Wilmington,BaseUnitEnrollmentTotal,370,370
School to LEA,0,0,Pass,Freire Charter School Wilmington,Enrollment,370,370
School to LEA,0,0,Pass,Freire Charter School Wilmington,Enrollment4_12,257,257
School to LEA,0,0,Pass,Freire Charter School Wilmington,EnrollmentBasicK12,68,68
School to LEA,0,0,Pass,Freire Charter School Wilmington,EnrollmentComplex,8,8
School to LEA,0,0,Pass,Freire Charter School Wilmington,EnrollmentIntense,37,37
School to LEA,0,0,Pass,Freire Charter School Wilmington,EnrollmentK3,0,0
School to LEA,0,0,Pass,Freire Charter School Wilmington,EnrollmentPreK,0,0
School to LEA,0,0,Pass,Freire Charter School Wilmington,Grade10Enrollment,64,64
School to LEA,0,0,Pass,Freire Charter School Wilmington,K8Enrollment,71,71
School to LEA,0,0,Pass,Freire Charter School Wilmington,LI,176,176
School to LEA,0,0,Pass,Freire Charter School Wilmington,MLL,19,19
School to LEA,0,0,Pass,Freire Charter School Wilmington,RegularEdEnrollment,257,257
School to LEA,0,0,Pass,Freire Charter School Wilmington,SpecialEdEnrollment,113,113
School to LEA,0,0.05,Pass,Freire Charter School Wilmington,Units4_12,12.85,12.85
School to LEA,0,0.05,Pass,Freire Charter School Wilmington,UnitsBasicK12,8.1,8.1
School to LEA,0,0.05,Pass,Freire Charter School Wilmington,UnitsComplex,3.08,3.08
School to LEA,0,0.05,Pass,Freire Charter School Wilmington,UnitsIntense,6.17,6.17
School to LEA,0,0.05,Pass,Freire Charter School Wilmington,UnitsK3,0,0
School to LEA,0,0.05,Pass,Freire Charter School Wilmington,UnitsPreK,0,0
School to LEA,0,0.05,Pass,Freire Charter School Wilmington,UnitsTotal,30.2,30.2
School to LEA,0,0.05,Pass,Freire Charter School Wilmington,UnitsVocational,0,0
School to LEA,0,0.05,Pass,Freire Charter School Wilmington,UnitsVocationalDeduct,0,0
School to LEA,0,0,Pass,Gateway Charter School,BaseUnitEnrollmentTotal,211,211
School to LEA,0,0,Pass,Gateway Charter School,Enrollment,211,211
School to LEA,0,0,Pass,Gateway Charter School,Enrollment4_12,59,59
School to LEA,0,0,Pass,Gateway Charter School,EnrollmentBasicK12,49,49
School to LEA,0,0,Pass,Gateway Charter School,EnrollmentComplex,11,11
School to LEA,0,0,Pass,Gateway Charter School,EnrollmentIntense,26,26
School to LEA,0,0,Pass,Gateway Charter School,EnrollmentK3,66,66
School to LEA,0,0,Pass,Gateway Charter School,EnrollmentPreK,0,0
School to LEA,0,0,Pass,Gateway Charter School,Grade10Enrollment,0,0
School to LEA,0,0,Pass,Gateway Charter School,K8Enrollment,211,211
School to LEA,0,0,Pass,Gateway Charter School,LI,98,98
School to LEA,0,0,Pass,Gateway Charter School,MLL,4,4
School to LEA,0,0,Pass,Gateway Charter School,RegularEdEnrollment,125,125
School to LEA,0,0,Pass,Gateway Charter School,SpecialEdEnrollment,86,86
School to LEA,0,0.05,Pass,Gateway Charter School,Units4_12,2.95,2.95
School to LEA,0,0.05,Pass,Gateway Charter School,UnitsBasicK12,5.83,5.83
School to LEA,0,0.05,Pass,Gateway Charter School,UnitsComplex,4.23,4.23
School to LEA,0,0.05,Pass,Gateway Charter School,UnitsIntense,4.33,4.33
School to LEA,0,0.05,Pass,Gateway Charter School,UnitsK3,4.07,4.07
School to LEA,0,0.05,Pass,Gateway Charter School,UnitsPreK,0,0
School to LEA,0,0.05,Pass,Gateway Charter School,UnitsTotal,21.41,21.41
School to LEA,0,0.05,Pass,Gateway Charter School,UnitsVocational,0,0
School to LEA,0,0.05,Pass,Gateway Charter School,UnitsVocationalDeduct,0,0
School to LEA,0,0,Pass,Great Oaks Charter School,BaseUnitEnrollmentTotal,141,141
School to LEA,0,0,Pass,Great Oaks Charter School,Enrollment,141,141
School to LEA,0,0,Pass,Great Oaks Charter School,Enrollment4_12,80,80
School to LEA,0,0,Pass,Great Oaks Charter School,EnrollmentBasicK12,23,23
School to LEA,0,0,Pass,Great Oaks Charter School,EnrollmentComplex,9,9
School to LEA,0,0,Pass,Great Oaks Charter School,EnrollmentIntense,29,29
School to LEA,0,0,Pass,Great Oaks Charter School,EnrollmentK3,0,0
School to LEA,0,0,Pass,Great Oaks Charter School,EnrollmentPreK,0,0
School to LEA,0,0,Pass,Great Oaks Charter School,Grade10Enrollment,39,39
School to LEA,0,0,Pass,Great Oaks Charter School,K8Enrollment,0,0
School to LEA,0,0,Pass,Great Oaks Charter School,LI,87,87
School to LEA,0,0,Pass,Great Oaks Charter School,MLL,5,5
School to LEA,0,0,Pass,Great Oaks Charter School,RegularEdEnrollment,80,80
School to LEA,0,0,Pass,Great Oaks Charter School,SpecialEdEnrollment,61,61
School to LEA,0,0.05,Pass,Great Oaks Charter School,Units4_12,4,4
School to LEA,0,0.05,Pass,Great Oaks Charter School,UnitsBasicK12,2.74,2.74
School to LEA,0,0.05,Pass,Great Oaks Charter School,UnitsComplex,3.46,3.46
School to LEA,0,0.05,Pass,Great Oaks Charter School,UnitsIntense,4.83,4.83
School to LEA,0,0.05,Pass,Great Oaks Charter School,UnitsK3,0,0
School to LEA,0,0.05,Pass,Great Oaks Charter School,UnitsPreK,0,0
School to LEA,0,0.05,Pass,Great Oaks Charter School,UnitsTotal,15.03,15.03
School to LEA,0,0.05,Pass,Great Oaks Charter School,UnitsVocational,0,0
School to LEA,0,0.05,Pass,Great Oaks Charter School,UnitsVocationalDeduct,0,0
School to LEA,0,0,Pass,Indian River School District,BaseUnitEnrollmentTotal,10620,10620
School to LEA,0,0,Pass,Indian River School District,Enrollment,10620,10620
School to LEA,0,0,Pass,Indian River School District,Enrollment4_12,5905,5905
School to LEA,0,0,Pass,Indian River School District,EnrollmentBasicK12,757,757
School to LEA,0,0,Pass,Indian River School District,EnrollmentComplex,500,500
School to LEA,0,0,Pass,Indian River School District,EnrollmentIntense,622,622
School to LEA,0,0,Pass,Indian River School District,EnrollmentK3,2725,2725
School to LEA,0,0,Pass,Indian River School District,EnrollmentPreK,111,111
School to LEA,0,0,Pass,Indian River School District,Grade10Enrollment,788,788
School to LEA,0,0,Pass,Indian River School District,K8Enrollment,7349,7349
School to LEA,0,0,Pass,Indian River School District,LI,2523,2523
School to LEA,0,0,Pass,Indian River School District,MLL,2689,2689
School to LEA,0,0,Pass,Indian River School District,RegularEdEnrollment,8630,8630
School to LEA,0,0,Pass,Indian River School District,SpecialEdEnrollment,1990,1990
School to LEA,0,0.05,Pass,Indian River School District,Units4_12,295.25,295.25
School to LEA,0.01,0.05,Pass,Indian River School District,UnitsBasicK12,90.12,90.13
School to LEA,0.01,0.05,Pass,Indian River School District,UnitsComplex,192.31,192.32
School to LEA,-0.01,0.05,Pass,Indian River School District,UnitsIntense,103.67,103.66
School to LEA,0.01,0.05,Pass,Indian River School District,UnitsK3,168.21,168.22
School to LEA,0,0.05,Pass,Indian River School District,UnitsPreK,13.21,13.21
School to LEA,0,0.05,Pass,Indian River School District,UnitsTotal,886.74,886.74
School to LEA,-0.01,0.05,Pass,Indian River School District,UnitsVocational,47.95,47.94
School to LEA,-0.01,0.05,Pass,Indian River School District,UnitsVocationalDeduct,-23.98,-23.99
School to LEA,0,0,Pass,Kuumba Academy Charter School,BaseUnitEnrollmentTotal,556,556
School to LEA,0,0,Pass,Kuumba Academy Charter School,Enrollment,556,556
School to LEA,0,0,Pass,Kuumba Academy Charter School,Enrollment4_12,237,237
School to LEA,0,0,Pass,Kuumba Academy Charter School,EnrollmentBasicK12,55,55
School to LEA,0,0,Pass,Kuumba Academy Charter School,EnrollmentComplex,6,6
School to LEA,0,0,Pass,Kuumba Academy Charter School,EnrollmentIntense,30,30
School to LEA,0,0,Pass,Kuumba Academy Charter School,EnrollmentK3,228,228
School to LEA,0,0,Pass,Kuumba Academy Charter School,EnrollmentPreK,0,0
School to LEA,0,0,Pass,Kuumba Academy Charter School,Grade10Enrollment,0,0
School to LEA,0,0,Pass,Kuumba Academy Charter School,K8Enrollment,556,556
School to LEA,0,0,Pass,Kuumba Academy Charter School,LI,342,342
School to LEA,0,0,Pass,Kuumba Academy Charter School,MLL,2,2
School to LEA,0,0,Pass,Kuumba Academy Charter School,RegularEdEnrollment,465,465
School to LEA,0,0,Pass,Kuumba Academy Charter School,SpecialEdEnrollment,91,91
School to LEA,0,0.05,Pass,Kuumba Academy Charter School,Units4_12,11.85,11.85
School to LEA,0,0.05,Pass,Kuumba Academy Charter School,UnitsBasicK12,6.55,6.55
School to LEA,0,0.05,Pass,Kuumba Academy Charter School,UnitsComplex,2.31,2.31
School to LEA,0,0.05,Pass,Kuumba Academy Charter School,UnitsIntense,5,5
School to LEA,0,0.05,Pass,Kuumba Academy Charter School,UnitsK3,14.07,14.07
School to LEA,0,0.05,Pass,Kuumba Academy Charter School,UnitsPreK,0,0
School to LEA,0,0.05,Pass,Kuumba Academy Charter School,UnitsTotal,39.78,39.78
School to LEA,0,0.05,Pass,Kuumba Academy Charter School,UnitsVocational,0,0
School to LEA,0,0.05,Pass,Kuumba Academy Charter School,UnitsVocationalDeduct,0,0
School to LEA,0,0,Pass,Lake Forest School District,BaseUnitEnrollmentTotal,3764,3764
School to LEA,0,0,Pass,Lake Forest School District,Enrollment,3764,3764
School to LEA,0,0,Pass,Lake Forest School District,Enrollment4_12,1970,1970
School to LEA,0,0,Pass,Lake Forest School District,EnrollmentBasicK12,476,476
School to LEA,0,0,Pass,Lake Forest School District,EnrollmentComplex,117,117
School to LEA,0,0,Pass,Lake Forest School District,EnrollmentIntense,127,127
School to LEA,0,0,Pass,Lake Forest School District,EnrollmentK3,1033,1033
School to LEA,0,0,Pass,Lake Forest School District,EnrollmentPreK,41,41
School to LEA,0,0,Pass,Lake Forest School District,Grade10Enrollment,279,279
School to LEA,0,0,Pass,Lake Forest School District,K8Enrollment,2674,2674
School to LEA,0,0,Pass,Lake Forest School District,LI,1190,1190
School to LEA,0,0,Pass,Lake Forest School District,MLL,155,155
School to LEA,0,0,Pass,Lake Forest School District,RegularEdEnrollment,3003,3003
School to LEA,0,0,Pass,Lake Forest School District,SpecialEdEnrollment,761,761
School to LEA,0,0.05,Pass,Lake Forest School District,Units4_12,98.5,98.5
School to LEA,-0.02,0.05,Pass,Lake Forest School District,UnitsBasicK12,56.67,56.65
School to LEA,0,0.05,Pass,Lake Forest School District,UnitsComplex,45,45
School to LEA,0,0.05,Pass,Lake Forest School District,UnitsIntense,21.17,21.17
School to LEA,-0,0.05,Pass,Lake Forest School District,UnitsK3,63.77,63.77
School to LEA,0,0.05,Pass,Lake Forest School District,UnitsPreK,4.88,4.88
School to LEA,-0.02,0.05,Pass,Lake Forest School District,UnitsTotal,298.18,298.16
School to LEA,-0.01,0.05,Pass,Lake Forest School District,UnitsVocational,16.39,16.38
School to LEA,0.01,0.05,Pass,Lake Forest School District,UnitsVocationalDeduct,-8.2,-8.19
School to LEA,0,0,Pass,Laurel School District,BaseUnitEnrollmentTotal,2499,2499
School to LEA,0,0,Pass,Laurel School District,Enrollment,2499,2499
School to LEA,0,0,Pass,Laurel School District,Enrollment4_12,1347,1347
