SchoolYear,CountDate,DistrictCode,DistrictName,LEAType,IncludeInStatewide,CalculatedPositions,CalculatorSuppliedFundingAmount,DocumentedCrosswalkFundingAmount,AnalyticalAssumptionFundingAmount,TotalModeledFundingAmount,ComponentsMissingInput,ComponentsMissingRate,InputComplete,ProvisionalQuantityRows,QuantityCalculationComplete,FundingRateComplete,OverallComplete
2026,2025-09-30,69,ASPIRA Delaware,Charter,TRUE,158.43794638186378,11487859.495556,1463247.3848528708,1355102.6538285716,14306209.534237443,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,9605,Academia Antonia Alonso,Charter,TRUE,86.00219550353155,6206757.806742,615693.0364611244,874334.4575142857,7696785.300717411,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,85,Academy of Dover Charter School,Charter,TRUE,52.15378473798132,3826138.0602286668,424760.22296630783,472605.10551428574,4723503.388709261,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,29,Appoquinimink School District,District,TRUE,1426.1392639621777,110705922.75604065,15597102.104397526,11960060.048885714,138263084.9093238,2,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,31,Brandywine School District,District,TRUE,1222.1835403793568,93929349.0130067,14737233.382986642,9869819.468857143,118536401.86485054,2,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,9615,Bryan Allen Stevenson School of Excellence,Charter,TRUE,16.240710128730917,1133856.235234,146618.94211383574,132353.4143142857,1412828.5916621217,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,10,Caesar Rodney School District,District,TRUE,899.808991117567,69658545.58487202,10318597.509728668,7507357.894514286,87484500.98911493,2,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,74,Campus Community School,Charter,TRUE,41.444840738209166,3071812.699733333,292108.1549920255,368641.04285714286,3732561.8975825016,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,17,Cape Henlopen School District,District,TRUE,808.3747584415584,62016906.81861665,9979639.567757577,6453269.647857143,78449816.03423144,2,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,13,Capital School District,District,TRUE,796.874782393484,61129465.88711002,9963986.005331144,6275509.644714284,77368961.53715546,2,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,80,Charter School of New Castle,Charter,TRUE,76.00160069833674,5420544.819462,611791.4744914274,785805.9226571429,6818142.216610571,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,70,Charter School of Wilmington,Charter,TRUE,73.64246245614035,5378638.510896,692224.5684035087,389439.0784,6460302.157699509,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,33,Christina School District,District,TRUE,1870.5145491433127,140634758.26682192,26543187.433884773,14002532.036657145,181180477.73736385,2,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,34,Colonial School District,District,TRUE,1061.6108458566869,81557732.15689532,12917363.811406896,8594391.946942857,103069487.91524509,2,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,79,Delaware Military Academy,Charter,TRUE,47.6114853508772,3628167.2359606666,363661.28864692984,234831.9226,4226660.447207596,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,37,Delmar School District,District,TRUE,130.12821326498064,10387276.820376,1232183.277618022,1029775.317542857,12649235.41553688,3,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,14,Dover Air Force Base,Dover Air Force Base,FALSE,48.5019786807929,4062975.1268040002,443675.8015944976,305078.01445714285,4811728.94285564,3,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,9604,Early College High School at Del State,Charter,TRUE,52.12635412850308,3860474.6885693334,443904.39592145133,331796.2729714286,4636175.357462213,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,72,East Side Charter School,Charter,TRUE,50.08508915698337,3687655.3223079997,358027.33792783093,475187.00462857145,4520869.664864403,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,76,Edison (Thomas A.) Charter School,Charter,TRUE,61.198491404647974,4346960.887903333,582409.5506329745,592530.3487142858,5521900.787250594,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,9607,First State Military Academy,Charter,TRUE,42.58405626794258,3242737.172661334,427051.56057735253,159480.2912,3829269.024438686,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,9606,First State Montessori Academy,Charter,TRUE,65.60769364775575,4723815.911656001,505881.0091570973,651437.0995428571,5881134.020355956,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,9612,Freire Charter School Wilmington,Charter,TRUE,44.489985349737985,3331480.98956,433571.55968500796,270727.4082857143,4035779.957530722,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,92,Gateway Charter School,Charter,TRUE,32.15426366712235,2342754.337698,317708.4690931021,266407.3984857143,2926870.2052768166,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,9611,Great Oaks Charter School,Charter,TRUE,22.881630326953747,1723313.777334,295033.3794882376,79797.8386,2098144.9954222376,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,36,Indian River School District,District,TRUE,1222.5771583025748,94192467.70037201,14400944.624069776,10024463.454514287,118617875.7789561,2,0,FALSE,0,FALSE,TRUE,FALSE
2026,2025-09-30,82,Kuumba Academy Charter School,Charter,TRUE,57.79029223741171,4262945.596217333,415038.94096451363,527574.4464571429,5205558.983638991,3,2,FALSE,1,FALSE,FALSE,FALSE
2026,2025-09-30,15,Lake Forest School District,District,TRUE,403.47595476873994,31751848.238404006,3987307.6005215314,3434913.9716000003,39174069.81052555,3,0,FALSE,0,FALSE,TRUE,FALSE
