Check,Value,Status
School/program rows,237,Info
Coded school rows,232,Info
No-code vocational/program rows,5,Info
LEA rows,44,Info
Statewide rows,2,Info
School-to-LEA checks requiring review,0,Pass
LEA-to-state checks requiring review,0,Pass
Statewide enrollment excluding DAFB,140829,Info
Statewide enrollment including DAFB,141306,Info
