Component,RateCategory,RateNote,AffectedRows,FundingQuantity,Action
Cafeteria Manager,Not available,No defensible calculator rate or documented crosswalk was identified.,24,17.52,Provide or approve an applicable funding rate.
Cafeteria Worker,Not available,No defensible calculator rate or documented crosswalk was identified.,24,118.1,Provide or approve an applicable funding rate.
