FundingSection,AdjustedWeightedCount,FundingPool,OriginalWeightedCount,OriginalFundingRate,ExcludedWeightedCount,ExcludedOriginalFundingAmount,AdjustedFundingRate,RateChange,RatePercentChange,AdjustedFundingAmount,ReportingScope,PoolTreatment
Operational Funding (State Support),85782.50499999999,279026800,85860.94499999999,3249.752259307186,78.44,254910.5672200557,3252.7238508597998,2.9715915526139725,0.09144055655637841,279026800,Excludes DAFB and Bryan Allen Stevenson School of Excellence,Fixed pool retained and redistributed across the adjusted reporting scope
Opportunity Funding (State Support),32911.124999999985,163000000,32939.53499999998,4948.460869286712,28.41,140585.7732964355,4952.732548644268,4.271679357555513,0.08632339368526212,163000000,Excludes DAFB and Bryan Allen Stevenson School of Excellence,Fixed pool retained and redistributed across the adjusted reporting scope
