StatewideScope,FundingSection,TotalWeightedCount,FundingPool,RecalculatedFundingRate,ProvidedFundingRate,SelectedMethod,SelectedFundingRate,FundingPoolSource,RateMethodSource,RateMethodNote,OperationalEnrollmentBasis,CharterBuildingPolicy
Excludes DAFB,Operational Funding (State Support),85860.945,279026800,3249.752259,3244.992536,recalculated,3249.752259,Copy of Calculator for 25-26 w Charter (003).xlsm,"Nick Johnson, POLYTECH School District",Treat Opportunity and Operational Funding as fixed statewide pools and recalculate the per-weighted-student rates from the eligible weighted counts.,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
Excludes DAFB,Opportunity Funding (State Support),32939.535,163000000,4948.460869,4953.004947,recalculated,4948.460869,Copy of Calculator for 25-26 w Charter (003).xlsm,"Nick Johnson, POLYTECH School District",Treat Opportunity and Operational Funding as fixed statewide pools and recalculate the per-weighted-student rates from the eligible weighted counts.,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder
