DistrictCode,DistrictName,ParentSchoolCode,ParentSchoolName,CalculatorLEAName,CalculatorRow,CalculationUnitSequence,SchoolCalculationUnitCount,CalculationUnitName,InputCategory,CalculatorValue,CalculatorBuildingTotal,CalculatorOrganizationTotal,SharedLEATotal,BuildingVsSharedDifference,OrganizationVsSharedDifference,AllocationShare,AllocationMethod,AllocationRule,ProportionalAdjustedValue,IntegerAdjustedValue,Remainder,RemainderRank,StudentsRemaining,StudentsAddedByLargestRemainder,FinalAdjustedValue
9605,Academia Antonia Alonso,4045,Academia Antonia Alonso,Academia_Antonia_Alonso_ Charter_School,2,1,2,Academia Primary,Enrollment4_12,195,476,476,476,0,0,0.4096638655462185,Calculator category share,Largest remainder; ties by CalculationUnitSequence,195,195,0,1,0,0,195
9605,Academia Antonia Alonso,4045,Academia Antonia Alonso,Academia_Antonia_Alonso_ Charter_School,2,1,2,Academia Primary,EnrollmentComplex,3,7,7,7,0,0,0.42857142857142855,Calculator category share,Largest remainder; ties by CalculationUnitSequence,3,3,0,1,0,0,3
9605,Academia Antonia Alonso,4045,Academia Antonia Alonso,Academia_Antonia_Alonso_ Charter_School,2,1,2,Academia Primary,EnrollmentIntense,15,19,19,19,0,0,0.7894736842105263,Calculator category share,Largest remainder; ties by CalculationUnitSequence,15,15,0,1,0,0,15
9605,Academia Antonia Alonso,4045,Academia Antonia Alonso,Academia_Antonia_Alonso_ Charter_School,2,1,2,Academia Primary,EnrollmentK3,373,373,373,373,0,0,1,Calculator category share,Largest remainder; ties by CalculationUnitSequence,373,373,0,1,0,0,373
9605,Academia Antonia Alonso,4045,Academia Antonia Alonso,Academia_Antonia_Alonso_ Charter_School,2,1,2,Academia Primary,UnitsVocational,0,0,0,0,0,0,0,Shared total is zero,Full-precision proportional allocation,0,,,,,0,0
9605,Academia Antonia Alonso,4045,Academia Antonia Alonso,Academia_Antonia_Alonso_ Charter_School,2,1,2,Academia Primary,UnitsVocationalDeduct,0,0,0,0,0,0,0,Shared total is zero,Full-precision proportional allocation,0,,,,,0,0
9605,Academia Antonia Alonso,4045,Academia Antonia Alonso,Academia_Antonia_Alonso_ Charter_School,3,2,2,Academia Junior High,BasicPreK12Enrollment,28,48,48,48,0,0,0.5833333333333334,Calculator category share,Largest remainder; ties by CalculationUnitSequence,28,28,0,2,0,0,28
9605,Academia Antonia Alonso,4045,Academia Antonia Alonso,Academia_Antonia_Alonso_ Charter_School,3,2,2,Academia Junior High,Enrollment4_12,281,476,476,476,0,0,0.5903361344537815,Calculator category share,Largest remainder; ties by CalculationUnitSequence,281,281,0,2,0,0,281
9605,Academia Antonia Alonso,4045,Academia Antonia Alonso,Academia_Antonia_Alonso_ Charter_School,3,2,2,Academia Junior High,EnrollmentComplex,4,7,7,7,0,0,0.5714285714285714,Calculator category share,Largest remainder; ties by CalculationUnitSequence,4,4,0,2,0,0,4
9605,Academia Antonia Alonso,4045,Academia Antonia Alonso,Academia_Antonia_Alonso_ Charter_School,3,2,2,Academia Junior High,EnrollmentIntense,4,19,19,19,0,0,0.21052631578947367,Calculator category share,Largest remainder; ties by CalculationUnitSequence,4,4,0,2,0,0,4
9605,Academia Antonia Alonso,4045,Academia Antonia Alonso,Academia_Antonia_Alonso_ Charter_School,3,2,2,Academia Junior High,EnrollmentK3,0,373,373,373,0,0,0,Calculator category share,Largest remainder; ties by CalculationUnitSequence,0,0,0,2,0,0,0
9605,Academia Antonia Alonso,4045,Academia Antonia Alonso,Academia_Antonia_Alonso_ Charter_School,3,2,2,Academia Junior High,UnitsVocational,0,0,0,0,0,0,0,Shared total is zero,Full-precision proportional allocation,0,,,,,0,0
9605,Academia Antonia Alonso,4045,Academia Antonia Alonso,Academia_Antonia_Alonso_ Charter_School,3,2,2,Academia Junior High,UnitsVocationalDeduct,0,0,0,0,0,0,0,Shared total is zero,Full-precision proportional allocation,0,,,,,0,0
85,Academy of Dover Charter School,584,Academy Of Dover Charter School,Academy_of_Dover_Charter_School,5,1,2,Academy of Dover Early Learning,BasicPreK12Enrollment,17,52,52,52,0,0,0.3269230769230769,Calculator category share,Largest remainder; ties by CalculationUnitSequence,17,17,0,1,0,0,17
85,Academy of Dover Charter School,584,Academy Of Dover Charter School,Academy_of_Dover_Charter_School,5,1,2,Academy of Dover Early Learning,Enrollment4_12,0,179,179,179,0,0,0,Calculator category share,Largest remainder; ties by CalculationUnitSequence,0,0,0,1,0,0,0
85,Academy of Dover Charter School,584,Academy Of Dover Charter School,Academy_of_Dover_Charter_School,5,1,2,Academy of Dover Early Learning,EnrollmentComplex,6,11,11,11,0,0,0.5454545454545454,Calculator category share,Largest remainder; ties by CalculationUnitSequence,6,6,0,1,0,0,6
85,Academy of Dover Charter School,584,Academy Of Dover Charter School,Academy_of_Dover_Charter_School,5,1,2,Academy of Dover Early Learning,EnrollmentIntense,11,27,27,27,0,0,0.4074074074074074,Calculator category share,Largest remainder; ties by CalculationUnitSequence,11,11,0,1,0,0,11
85,Academy of Dover Charter School,584,Academy Of Dover Charter School,Academy_of_Dover_Charter_School,5,1,2,Academy of Dover Early Learning,EnrollmentK3,136,185,185,185,0,0,0.7351351351351352,Calculator category share,Largest remainder; ties by CalculationUnitSequence,136,136,0,1,0,0,136
85,Academy of Dover Charter School,584,Academy Of Dover Charter School,Academy_of_Dover_Charter_School,5,1,2,Academy of Dover Early Learning,UnitsVocational,0,0,0,0,0,0,0,Shared total is zero,Full-precision proportional allocation,0,,,,,0,0
85,Academy of Dover Charter School,584,Academy Of Dover Charter School,Academy_of_Dover_Charter_School,5,1,2,Academy of Dover Early Learning,UnitsVocationalDeduct,0,0,0,0,0,0,0,Shared total is zero,Full-precision proportional allocation,0,,,,,0,0
85,Academy of Dover Charter School,584,Academy Of Dover Charter School,Academy_of_Dover_Charter_School,6,2,2,Academy of Dover Main,BasicPreK12Enrollment,35,52,52,52,0,0,0.6730769230769231,Calculator category share,Largest remainder; ties by CalculationUnitSequence,35,35,0,2,0,0,35
85,Academy of Dover Charter School,584,Academy Of Dover Charter School,Academy_of_Dover_Charter_School,6,2,2,Academy of Dover Main,Enrollment4_12,179,179,179,179,0,0,1,Calculator category share,Largest remainder; ties by CalculationUnitSequence,179,179,0,2,0,0,179
