StatewideScope,FundingSection,Component,OperationalEnrollmentBasis,CharterBuildingPolicy,RawCount,AppliedWeight,WeightedCount,FundingRate,FundingAmount,RowsMissingInput,RowsMissingRate
Excludes DAFB,Operational Funding (State Support),Operational Funding - Basic Special Education,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,13893,0.48,6668.64,3249.752259,21671427.91,0,0
Excludes DAFB,Operational Funding (State Support),Operational Funding - Complex Special Education,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,6368,1.54,9806.72,3249.752259,31869410.48,0,0
Excludes DAFB,Operational Funding (State Support),Operational Funding - Enrollment,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,140829,0.2,28165.8,3249.752259,91531872.19,0,0
Excludes DAFB,Operational Funding (State Support),Operational Funding - Intensive Special Education,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,6915,0.67,4633.05,3249.752259,15056264.7,0,0
Excludes DAFB,Operational Funding (State Support),Operational Funding - Low Income,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,36713,0.675,24781.275,3249.752259,80533004.42,0,0
Excludes DAFB,Operational Funding (State Support),Operational Funding - Multilingual Learner,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,17358,0.47,8158.26,3249.752259,26512323.87,0,0
Excludes DAFB,Operational Funding (State Support),Operational Funding - Vocational,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,18236,0.2,3647.2,3249.752259,11852496.44,0,0
Excludes DAFB,Opportunity Funding (State Support),Opportunity Funding - Low Income,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,36713,0.675,24781.275,4948.460869,122629169.63,0,0
Excludes DAFB,Opportunity Funding (State Support),Opportunity Funding - Multilingual Learner,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,17358,0.47,8158.26,4948.460869,40370830.37,0,0
