SchoolYear,CountDate,DistrictCode,DistrictName,LEAType,IncludeInStatewide,OperationalEnrollmentBasis,CharterBuildingPolicy,SchoolCalculationUnitCount,ProposedPrincipalPositions,BaseFundingAmount,OpportunityFundingAmount,OperationalFundingAmount,CentralOfficeFundingAmount,TotalModeledFundingAmount,ComponentsMissingInput,ComponentsMissingRate,OverallComplete
2026,2025-09-30,76,Edison (Thomas A.) Charter School,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,3,3,5445486.3087098105,1368472.111096894,1451518.095380851,693987.7733665798,8959464.288554134,0,0,TRUE
2026,2025-09-30,9607,First State Military Academy,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,1,1,3943700.472527473,286590.11124473996,630663.1722024491,680734.9309951649,5541688.686969826,0,0,TRUE
2026,2025-09-30,9606,First State Montessori Academy,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,2,2,5948034.431623932,218425.0627703155,740131.0770572117,700068.8673727066,7606659.438824166,0,0,TRUE
2026,2025-09-30,9612,Freire Charter School Wilmington,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,1,1,3992750.0890109893,632066.9068339918,882242.7433567148,680230.3956633992,6187290.134865096,0,0,TRUE
2026,2025-09-30,92,Gateway Charter School,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,2,2,2925906.349572649,336643.7929375751,546315.8523121311,668909.8772546211,4477775.872076976,0,0,TRUE
2026,2025-09-30,9611,Great Oaks Charter School,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,1,1,1961675.934065934,302227.24759168597,449132.01099754963,660456.4031510623,3373491.595806232,0,0,TRUE
2026,2025-09-30,36,Indian River School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,15,15,117188081.29943016,14681365.87234763,22372058.244851608,3070792.0356454942,157312297.4522749,0,0,TRUE
2026,2025-09-30,82,Kuumba Academy Charter School,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,2,2,5326448.167155068,1147003.7448919672,1295773.7183535541,693497.0769707822,8462722.70737137,0,0,TRUE
2026,2025-09-30,15,Lake Forest School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,7,7,39529819.05957671,4335346.5675820885,7160276.645499301,1681472.9702183292,52706915.24287645,0,0,TRUE
2026,2025-09-30,16,Laurel School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,4,4,25254336.18873423,4574579.908307755,5716167.98526967,1048537.67790003,36593621.760211684,0,0,TRUE
2026,2025-09-30,88,MOT Charter School,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,3,3,12181395.374041516,405872.7604988961,1550586.7930058308,760902.362620812,14898757.290167054,0,0,TRUE
2026,2025-09-30,18,Milford School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,7,7,43882383.53319496,7015754.624344275,9304901.902745187,1727939.4205145375,61930979.48079896,0,0,TRUE
2026,2025-09-30,38,New Castle County Vocational-Technical School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,5,5,51823631.76791209,5084741.481626869,10939576.035460593,1964155.160470939,69812104.4454705,0,0,TRUE
2026,2025-09-30,89,Newark Charter School,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,4,4,27818164.302474566,1153535.7132394256,3636082.807893624,1079548.2727658893,33687331.096373506,0,0,TRUE
2026,2025-09-30,86,Odyssey Charter School,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,4,4,21672954.81609279,2445603.5885145324,3842230.8424627753,1018588.5489858309,28979377.79605593,0,0,TRUE
2026,2025-09-30,39,Polytech School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,1,1,12889934.2589011,727201.0670460289,2398885.874014082,764836.4736750065,16780857.67363622,0,0,TRUE
2026,2025-09-30,71,Positive Outcomes Charter School,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,2,2,2424068.3991208794,200412.66520611185,404496.66371596546,663245.6476032586,3692223.375646216,0,0,TRUE
2026,2025-09-30,87,Providence Creek Academy Charter School,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,2,2,7037047.061310542,450087.2583659729,1019756.0102092983,710895.9551418287,9217786.285027644,0,0,TRUE
2026,2025-09-30,32,Red Clay Consolidated School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,27,27,164046495.67508352,19133743.539488353,30391991.855505448,3621914.7100398885,217194145.78011706,0,0,TRUE
2026,2025-09-30,23,Seaford School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,8,8,37435565.52507938,7087556.791557625,8608187.515872322,1496267.9351891133,54627577.76769843,0,0,TRUE
2026,2025-09-30,24,Smyrna School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,8,8,62898708.87624747,4574975.785177298,9759314.761164112,2398193.3010942154,79631192.72368309,0,0,TRUE
2026,2025-09-30,77,Sussex Academy,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,3,3,9350739.48825397,377542.82202222967,1218770.8385692704,735430.981355909,11682484.13020138,0,0,TRUE
2026,2025-09-30,9614,Sussex Montessori School,Charter,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,1,1,3896561.4328042334,502392.4897543335,703945.0856498261,679837.4215241341,5782736.429732527,0,0,TRUE
2026,2025-09-30,40,Sussex Technical School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,1,1,14328223.565714287,1265222.4750592266,2939953.3764274316,777605.791700419,19311005.208901364,0,0,TRUE
2026,2025-09-30,35,Woodbridge School District,District,TRUE,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,4,4,28789511.189930815,4002612.0587312495,5772599.933252541,1078239.2386145578,39642962.42052919,0,0,TRUE
