SchoolYear,DistrictCode,DistrictName,SchoolCode,SchoolName,CustodianPositions,SatelliteCafeteriaCount,HasSchoolLunchProgram,Notes
2026,33,Christina School District,321.0,Keene (William B.) Elementary School,,,,
2026,33,Christina School District,374.0,Kirk (George V.) Middle School,,,,
2026,33,Christina School District,322.0,Leasure (May B.) Elementary School,,,,
2026,33,Christina School District,324.0,Maclary (R. Elisabeth) Elementary School,,,,
2026,33,Christina School District,312.0,Marshall (Thurgood) Elementary School,,,,
2026,33,Christina School District,353.0,Maurice Pritchett SR. Academy,,,,
2026,33,Christina School District,326.0,McVey (Joseph M.) Elementary School,,,,
2026,33,Christina School District,394.0,Newark High School,,,,
2026,33,Christina School District,327.0,Oberle (William) Elementary School,,,,
2026,33,Christina School District,358.0,Pulaski Early Education Center,,,,
2026,33,Christina School District,512.0,REACH/CBIP,,,,
2026,33,Christina School District,376.0,Shue-Medill Middle School,,,,
2026,33,Christina School District,330.0,Smith (Jennie E.) Elementary School,,,,
2026,33,Christina School District,362.0,Stubbs Early Education Center,,,,
2026,33,Christina School District,352.0,The Bayard School,,,,
2026,33,Christina School District,332.0,West Park Place Elementary School,,,,
2026,33,Christina School District,334.0,Wilson (Etta J.) Elementary School,,,,
2026,34,Colonial School District,470.0,Bedford (Gunning) Middle School,,,,
2026,34,Colonial School District,412.0,Castle Hills Elementary School,,,,
2026,34,Colonial School District,410.0,Downie (Carrie) Elementary School,,,,
2026,34,Colonial School District,456.0,Eisenberg (Harry O.) Elementary School,,,,
2026,34,Colonial School District,514.0,Leach (John G.) School,,,,
2026,34,Colonial School District,476.0,McCullough (Calvin R. ) Middle School,,,,
2026,34,Colonial School District,432.0,New Castle Elementary School,,,,
2026,34,Colonial School District,490.0,Penn (William) High School,,,,
2026,34,Colonial School District,418.0,Pleasantville Elementary School,,,,
2026,34,Colonial School District,474.0,Read (George) Middle School,,,,
2026,34,Colonial School District,427.0,Southern Elementary School,,,,
2026,34,Colonial School District,450.0,The Colwyck Center,,,,
2026,34,Colonial School District,422.0,Wilbur (Kathleen H.) Elementary,,,,
2026,34,Colonial School District,420.0,Wilmington Manor Elementary School,,,,
2026,79,Delaware Military Academy,578.0,Delaware Military Academy,,,,
2026,37,Delmar School District,730.0,Delmar High School,,,,
2026,37,Delmar School District,733.0,Delmar Middle School,,,,
2026,14,Dover Air Force Base,893.0,Dover AFB Off Base,,,,
2026,14,Dover Air Force Base,891.0,Dover Air Force Base Middle School,,,,
2026,14,Dover Air Force Base,892.0,Major George S. Welch Elementary School,,,,
2026,9604,Early College High School at Del State,4040.0,Early College School at Del State,,,,
2026,72,East Side Charter School,571.0,East Side Charter School,,,,
2026,76,Edison (Thomas A.) Charter School,575.0,Edison (Thomas A.) Charter School,,,,
2026,9607,First State Military Academy,4055.0,First State Military Academy,,,,
2026,9606,First State Montessori Academy,4050.0,First State Montessori Academy,,,,
2026,9612,Freire Charter School Wilmington,4080.0,Freire Charter School,,,,
2026,92,Gateway Charter School,543.0,Gateway Charter School,,,,
2026,9611,Great Oaks Charter School,4075.0,Great Oaks Charter School,,,,
2026,36,Indian River School District,732.0,Clayton (John M.) Elementary School,,,,
2026,36,Indian River School District,738.0,East Millsboro Elementary School,,,,
2026,36,Indian River School District,750.0,Ennis (Howard T.) School,,,,
2026,36,Indian River School District,734.0,Georgetown Elementary School,,,,
2026,36,Indian River School District,743.0,Georgetown Middle School,,,,
2026,36,Indian River School District,746.0,Indian River High School,,,,
2026,36,Indian River School District,745.0,Indian River Intensive Learning Center,,,,
2026,36,Indian River School District,690.0,Long Neck Elementary School,,,,
2026,36,Indian River School District,736.0,Lord Baltimore Elementary School,,,,
2026,36,Indian River School District,692.0,North Georgetown Elementary School,,,,
2026,36,Indian River School District,742.0,Selbyville Middle School,,,,
2026,36,Indian River School District,740.0,Showell (Phillip C.) Elementary School,,,,
2026,36,Indian River School District,749.0,Southern Delaware School of the Arts,,,,
2026,36,Indian River School District,748.0,Sussex Central High School,,,,
2026,36,Indian River School District,786.0,Sussex Central Middle,,,,
2026,82,Kuumba Academy Charter School,581.0,Kuumba Academy Charter School,,,,
2026,15,Lake Forest School District,664.0,Chipman (W.T.) Middle School,,,,
2026,15,Lake Forest School District,663.0,Delaware Early Childhood Center,,,,
2026,15,Lake Forest School District,669.0,Lake Forest Central Elementary School,,,,
2026,15,Lake Forest School District,658.0,Lake Forest East Elementary School,,,,
2026,15,Lake Forest School District,665.0,Lake Forest High School,,,,
2026,15,Lake Forest School District,660.0,Lake Forest North Elementary School,,,,
2026,15,Lake Forest School District,662.0,Lake Forest South Elementary School,,,,
2026,16,Laurel School District,783.0,Laurel Elementary School,,,,
2026,16,Laurel School District,782.0,Laurel Middle School,,,,
2026,16,Laurel School District,756.0,Laurel Senior High School,,,,
2026,16,Laurel School District,752.0,North Laurel Early Learning Academy,,,,
2026,88,MOT Charter School,587.0,MOT Charter School,,,,
2026,18,Milford School District,668.0,Banneker (Benjamin) Elementary School,,,,
2026,18,Milford School District,675.0,Milford Central Academy,,,,
2026,18,Milford School District,676.0,Milford Middle School,,,,
2026,18,Milford School District,678.0,Milford Senior High School,,,,
2026,18,Milford School District,673.0,Mispillion Elementary,,,,
2026,18,Milford School District,670.0,Morris (Evelyn I.) Early Childhood,,,,
2026,18,Milford School District,672.0,Ross (Lulu M.) Elementary School,,,,
2026,38,New Castle County Vocational-Technical School District,539.0,DelCastle ILC,,,,
2026,38,New Castle County Vocational-Technical School District,80.0,Delcastle Technical High School,,,,
2026,38,New Castle County Vocational-Technical School District,66.0,Hodgson (Paul M.) Vocational Technical High School,,,,
2026,38,New Castle County Vocational-Technical School District,26.0,Howard High School of Technology,,,,
2026,38,New Castle County Vocational-Technical School District,44.0,St. Georges Technical High School,,,,
2026,89,Newark Charter School,588.0,Newark Charter School,,,,
2026,86,Odyssey Charter School,585.0,Odyssey Charter School,,,,
2026,39,Polytech School District,652.0,POLYTECH High School,,,,
